date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:13	38538/38538	---M-Z	404	error ('Not%20Found')	text/html	etag:%221689862505%22	https://www.middlebury.edu/campaign/%22/campaign/media/oembed?url=https%3A//vimeo.com/706952331%3Fautoplay%3D1&amp;max_width=0&amp;max_height=0&amp;hash=C1ufPTz6WYCEdOae8f3J-l2NE9Kce1SPgdubEiOC314%22	www.middlebury.edu/campaign/_/campaign/media/oembed6623	(from https://www.middlebury.edu/campaign/)
10:21:14	78118/78118	---M--	200	added ('OK')	image/jpeg	etag:%2213126-5debec90c5efa%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/896x504/public/2022-05/hp-video-th-2_0.jpg?itok=xGj5Lw36	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/896x504/public/2022-05/hp-video-th-2_020f8.jpg	(from https://www.middlebury.edu/campaign/)
10:21:15	56232/56232	---M--	200	added ('OK')	image/jpeg	etag:%22dba8-5d929e213077e%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-03/hp-access-416x522.jpg?itok=QHIumRuF	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-03/hp-access-416x522cd99.jpg	(from https://www.middlebury.edu/campaign/)
10:21:16	33731/33731	---M--	200	added ('OK')	image/jpeg	etag:%2283c3-5d92a080b578c%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-03/hp-academic-excellence-414x519.jpg?itok=UnrB4ABy	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-03/hp-academic-excellence-414x51987dd.jpg	(from https://www.middlebury.edu/campaign/)
10:21:17	48140/48140	---M--	200	added ('OK')	image/jpeg	etag:%22bc0c-5d92a0f6d39b4%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-03/hp-experience-414x519.jpg?itok=4Gtrg27W	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/414x552/public/2022-03/hp-experience-414x51995d6.jpg	(from https://www.middlebury.edu/campaign/)
10:21:18	50934/50934	---M--	200	added ('OK')	image/jpeg	etag:%22c6f6-5dc1667d23c53%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/896x504/public/2022-04/campaign-top-capitol-projects-2.jpg?itok=W0oeMfIT	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/styles/896x504/public/2022-04/campaign-top-capitol-projects-20729.jpg	(from https://www.middlebury.edu/campaign/)
10:21:19	6335/6335	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218bf-5edcb28798380%22	https://www.middlebury.edu/campaign/themes/custom/campaign_theme/img/middlebury-logo-white.svg	www.middlebury.edu/campaign/themes/custom/campaign_theme/img/middlebury-logo-white.svg	(from https://www.middlebury.edu/campaign/)
10:21:20	61618/61618	---M-Z	200	added ('OK')	application/javascript	etag:%22f0b2-5fed1998dcb78%22	https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/js/js_xaLRhXDwewhQh7jO0w47QShBWL_s2xm8YrjPggnbJ_Y.js	www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/js/js_xaLRhXDwewhQh7jO0w47QShBWL_s2xm8YrjPggnbJ_Y.js	(from https://www.middlebury.edu/campaign/)
10:21:21	270/270	---M-Z	200	added ('OK')	image/svg+xml	etag:%2210e-5edca910e92cc%22	https://www.middlebury.edu/campaign/themes/custom/campaign_theme/img/external-link.svg	www.middlebury.edu/campaign/themes/custom/campaign_theme/img/external-link.svg	(from https://www.middlebury.edu/campaign/sites/www.middlebury.edu.campaign/files/css/css_W_oZNPEGI6NnCR1x0XCRKy6Ox6li09kBNjIex1S0vpM.css)
10:21:22	414/414	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202023%2014:21:22%20GMT	https://www.middlebury.edu/campaign/node/7	www.middlebury.edu/campaign/node/7	(from https://www.middlebury.edu/campaign/access)
